"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert","probability","package_names"
"#tebakangka 3","none","Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 3\n\nJawaban Bot: 1<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 3\n\nJawaban Bot: 2<#>Jawaban anda sama dengan jawaban bot\n\nJawabanmu: 3\n\nJawaban Bot: 3<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 3\n\nJawaban Bot: 4<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 3\n\nJawaban Bot: 5<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 3\n\nJawaban Bot: 6<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 3\n\nJawaban Bot: 7<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 3\n\nJawaban Bot: 8<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 3\n\nJawaban Bot: 9<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 3\n\nJawaban Bot: 10<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 3\n\nJawaban Bot: 0","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#tebakangka 4","none","Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 4\n\nJawaban Bot: 1<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 4\n\nJawaban Bot: 2<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 4\n\nJawaban Bot: 3<#>Jawaban anda sama dengan jawaban bot\n\nJawabanmu: 4\n\nJawaban Bot: 4<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 4\n\nJawaban Bot: 5<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 4\n\nJawaban Bot: 6<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 4\n\nJawaban Bot: 7<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 4\n\nJawaban Bot: 8<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 4\n\nJawaban Bot: 9<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 4\n\nJawaban Bot: 10<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 4\n\nJawaban Bot: 0","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#tebakangka 5","none","Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 5\n\nJawaban Bot: 1<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 5\n\nJawaban Bot: 2<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 5\n\nJawaban Bot: 3<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 5\n\nJawaban Bot: 4<#>Jawaban anda sama dengan jawaban bot\n\nJawabanmu: 5\n\nJawaban Bot: 5<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 5\n\nJawaban Bot: 6<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 5\n\nJawaban Bot: 7<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 5\n\nJawaban Bot: 8<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 5\n\nJawaban Bot: 9<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 5\n\nJawaban Bot: 10<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 5\n\nJawaban Bot: 0","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#tebakangka 6","none","Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 6\n\nJawaban Bot: 1<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 6\n\nJawaban Bot: 2<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 6\n\nJawaban Bot: 3<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 6\n\nJawaban Bot: 4<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 6\n\nJawaban Bot: 5<#>Jawaban anda sama dengan jawaban bot\n\nJawabanmu: 6\n\nJawaban Bot: 6<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 6\n\nJawaban Bot: 7<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 6\n\nJawaban Bot: 8<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 6\n\nJawaban Bot: 9<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 6\n\nJawaban Bot: 10<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 6\n\nJawaban Bot: 0","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#tebakangka 7","none","Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 7\n\nJawaban Bot: 1<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 7\n\nJawaban Bot: 2<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 7\n\nJawaban Bot: 3<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 7\n\nJawaban Bot: 4<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 7\n\nJawaban Bot: 5<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 7\n\nJawaban Bot: 6<#>Jawaban anda sama dengan jawaban bot\n\nJawabanmu: 7\n\nJawaban Bot: 7<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 7\n\nJawaban Bot: 8<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 7\n\nJawaban Bot: 9<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 7\n\nJawaban Bot: 10<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 7\n\nJawaban Bot: 0","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#tebakangka 8","none","Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 8\n\nJawaban Bot: 1<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 8\n\nJawaban Bot: 2<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 8\n\nJawaban Bot: 3<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 8\n\nJawaban Bot: 4<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 8\n\nJawaban Bot: 5<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 8\n\nJawaban Bot: 6<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 8\n\nJawaban Bot: 7<#>Jawaban anda sama dengan jawaban bot\n\nJawabanmu: 8\n\nJawaban Bot: 8<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 8\n\nJawaban Bot: 9<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 8\n\nJawaban Bot: 10<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 8\n\nJawaban Bot: 0","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#tebakangka 9","none","Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 9\n\nJawaban Bot: 1<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 9\n\nJawaban Bot: 2<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 9\n\nJawaban Bot: 3<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 9\n\nJawaban Bot: 4<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 9\n\nJawaban Bot: 5<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 9\n\nJawaban Bot: 6<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 9\n\nJawaban Bot: 7<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 9\n\nJawaban Bot: 8<#>Jawaban anda sama dengan jawaban bot\n\nJawabanmu: 9\n\nJawaban Bot: 9<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 9\n\nJawaban Bot: 10<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 9\n\nJawaban Bot: 0","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#tebakangka 10","none","Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 10\n\nJawaban Bot: 1<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 10\n\nJawaban Bot: 2<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 10\n\nJawaban Bot: 3<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 10\n\nJawaban Bot: 4<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 10\n\nJawaban Bot: 5<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 10\n\nJawaban Bot: 6<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 10\n\nJawaban Bot: 7<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 10\n\nJawaban Bot: 8<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 10\n\nJawaban Bot: 9<#>Jawaban anda sama dengan jawaban bot\n\nJawabanmu: 10\n\nJawaban Bot: 10<#>Jawaban anda tidak sama dengan jawaban bot\n\nJawabanmu: 10\n\nJawaban Bot: 0","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#tebakangka*","normal","No detected number, invalid!\nSilahkan coba lagi nanti\nFormat: harus kasih nomor min1 max10\nContoh: #tebakangka 7\n\nIngat kasih spasi setelah *""#tebakangka!""*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"cekprefix//bot//#bot//*prefix* kamu apa*","normal","inc.bot is Prefix, 「 *#* 」Prefix adalah tanda sebelum perintah.\nContoh : *_#menu_*\n\n_Note_ : ```Jangan menggunakan simbol² aneh dan perintah yang tidak terdaftar, agar tidak terjadi bug!```\n\n\n✘ ▬▬▬▬ ஜ۩۞۩ஜ ▬▬▬▬ ✘\n  Cara Penggunaan inc.bot\n✘ ▬▬▬▬ ஜ۩۞۩ஜ ▬▬▬▬ ✘\n\n● *#suit*\n► Bot telah mengirim menu suit yaitu batu/gunting/kertas, anda hanya dapat menjawab menu dengan\ncontoh:\n_#suit b/#suit batu_ begitu juga dengan gunting dan kertas.\nPenjelasan:\nmenu suit sama seperti yg sering anda mainkan bersama teman² dengan taruhan tangan berbentuk batu, gunting, maupun kertas.\n\n● *#dadu*\n► Sebenarnya menu ini adalah menu yg dibuat secara _random/dikirim secara acak_ dengan begitu dadu akan mengeluarkan angka yg acak untuk menarik perhatian pengguna bot.\nPenjelasan:\nmenu dadu ini sama seperti: monopoli, ular tangga dsb, cuman penjelasan dari menu ini adalah jika anda mendapat angka 6 maka anda menang dan mendapatkan uang min1 max10 rupiah\n\n● *#koin*\n► Bot telah mengirim menu koin yaitu uang dan gambar, anda hanya dapat menjawab menu dengan\ncontoh:\n_#koin u/#koin uang_ begitu juga dengan gambar.\n\nPenjelasan:\nmenu koin sama seperti yg sering anda mainkan ketika anda taruhan dengan teman bermain koin dan pilihanya adalah uang/gambar.\n\n● *#spin*\n► Sebenarnya menu ini adalah menu yg dibuat secara _random/dikirim secara acak_ dengan begitu bot akan mengeluarkan putaran secara acak untuk menarik perhatian pengguna bot.\nPenjelasan:\nmenu ini sama seperti: game domino yg ada di play store, cuman penjelasan dari menu ini adalah jika anda memutar sampai muncul tulisan seperti: *you win, big win, mega win dsb, maka anda menang.\n\n● *#slep*\n► Bot akan slepet uang user bot yg anda tag, dengan begitu anda akan mendapatkan uang dengan nominal² tertentu dengan contoh:\n_#slep @userbot_\nPenjelasan:\nmenu ini adalah anda menyuruh bot untuk slepet/mengambil uang user bot agar uangnya berkurang dan uang anda bertambah.\n\n● *#bal*\n► Bot akan memfitnah user bot sebagai ""kang slepet"" yg anda tag, dengan begitu anda akan mendapatkan uang dengan nominal² tertentu dengan contoh:\n_#bal @userbot_\nPenjelasan:\nmenu ini adalah anda menyuruh bot untuk memfitah user bot agar uang anda bertambah dan uang uang user bot akan berkurang (jika anda berhasil) jika anda gagal, maka sebaliknya.\n\n● *#bet*\n► Bot akan menampilkan uang anda dengan nominal secara _random/dikirim secara acak_ sehingga anda dapat melihat nominal uang anda sebagai contoh:\n_#bet_\nPenjelasan:\nUang itu tidaklah berguna dan hanya untuk menu bersenang² dengan mengalahkan teman² anda.\n\n● *#apakah*\n► Penjelasan: menu ini adalah menu kerang seperti yg ada di film sepongebob, dan menu ini hanya untuk bersenang² yg dikirim secara _random/secara acak_.\n\n● *#bisakah*\n► Penjelasan: menu ini adalah menu kerang seperti yg ada di film sepongebob, dan menu ini hanya untuk bersenang² yg dikirim secara _random/secara acak_.\n\n● *#kapankah*\n► Penjelasan: menu ini adalah menu kerang seperti yg ada di film sepongebob, dan menu ini hanya untuk bersenang² yg dikirim secara _random/secara acak_.\n\n● *#tebakangka*\n► Bot telah mengirim menu tebakangka yaitu 1,2,3, dan seterusnya, anda hanya dapat menjawab menu dengan\ncontoh:\n_#suit 7_ begitu juga dengan 8,9 dan 10.\nPenjelasan:\nmenu tebakangka sama seperti yg sering anda mainkan bersama teman² dengan taruhan tangan menunjukan angka 1,2,3, dan seterusnya.\n\n● *#bugreport*\n► Bot akan melaporkan laporan yg anda kirim ke inc.bot untuk dikirim ke ownerbot, anda hanya dapat mengetik pesan *dengan spasi diganti dengan ""%20""* untuk itu anda hanya mengklik link yg telah dikirim oleh bot dan anda akan berbicara langsung dengan owner inc.bot.\n\nYg laen pikir sendiri pake otak, makanya jangan nugas mulu sesekali ngasah otak!\n\n*Semoga berguna dan bermanfaat bagi saya sendiri:v*\n\nTerimakasih telah menggunakan inc.bot 💓.","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"tes","none","*_Testing sukses ✓ Bot Game sedang aktif_*\nKetik *#menu* untuk menampilkan menu!","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#join *//buka tautan ini untuk bergabung ke grup whatsapp saya: *//👥 undangan untuk bergabung ke grup whatsapp saya//👥 undangan grup whatsapp","normal","```Link grup terdeteksi, Bot sedang mengirim link ke owner Bot```\nSilahkan tunggu sebentar!<#>⚠️Peringatan\nmaaf saat ini bot sedang dalam privasi Owner, jika anda ingin memasukan inc.bot digrup anda, maka anda wajib untuk donasi, silahkan ketik *_#donasi_* untuk mengetahui info² donasi agar bot tetap terjaga saat berada digrup.<#>Untuk Regis silahkan salin & isi daftar yg sudah disediakan oleh Bot untuk dikirim ke Owner Bot wa.me/6282211224927 silahkan tunggu 7 detik lagi.<#>Hai 0Z4N👋\n\n(･ω･)\n\n*_Regis untuk join bot_* ✍︎\n*_Nama_* :\n*_Umur_* :\n*_Asal_* :\n*_L/P_* :\n*_Status_* :\n*_Alasan join_* :\n*_Nama grup_* :\n\nTeruntuk Owner bot saya minta izin untuk memasukkan bot ke dalam grup saya terima kasih.<#>silahkan salin & isi daftar diatas☝️\nuntuk dikirim ke Owner Bot wa.me/6282211224927 maka Bot akan segera masuk.","all","7","7","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#join*","normal","No detected link, invalid!\nSilahkan coba lagi nanti\nFormat: harus kasih link grup!\nContoh: #join https://chat.whatsapp.com/GJi5NTBuVQuIWMSng5bNXH\n\nIngat kasih spasi setelah *""#join!""*","single","","","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#bugreport *","normal","Terimakasih atas masukan Anda, laporan palsu/main² tidak akan ditanggapi.\n\nSilahkan ulangi ulasan Anda yang format untuk dikirim ke Owner bot ganti spasi menggunakan tanda ""%20""\n_Min 3 kata max seterusnya..._\nContoh: Bang%20Botnya%20eror\n\nTerimakasih telah menggunakan inc.bot 💓.","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"#bugreport*","normal","No detected text, invalid!\nSilahkan coba lagi nanti\nFormat: harus kasih text laporan!\n_Min 3 kata max seterusnya..._\nContoh: #bugreport Bang%20Botnya%20eror\n\nIngat kasih spasi setelah *""#bugreport!""*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"*%20*%20*","normal","Terimakasih atas masukan Anda, laporan palsu/main² tidak akan ditanggapi.\n\nUntuk lapor bug/eror silahkan tekan link dibawah ini ↓↓↓\nhttps://wa.me/6282211224927?text=%message%","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"nyimak","none","*「MODE NYIMAK」*\n\nSssttt! Mem laknat sedang nyimak, jangan diganggu!\n➸ *Alasan*: gak ada topik\n➸ *Sejak*: %day_of_month%/%month% %hour_of_day%:%minute%:02","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"*tolol*//*goblok*","normal","Iya emang goblok dia tolol🤣","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"bye","none","Sayonara~👋beban grup telah diusir dari grup\n%name% semoga tenang disana🐦🤙","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"p","none","```Time: %hour_of_day% : %minute% : 04 %am/pm% WIB```\n\n*Pa pe pa pe, ndasmu pengab*\nDisini dengan inc.bot.\nIya ada apa bang, mbak, buk, pak, dek, kak!? Ada yg bisa dibanting? Ketik *""#menu""* untuk menampilkan menu!\n\nBiasakan salam bagi yg muslim!\nBeda agama? _Permisi_ biar sopan.","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"intro","none","Hai new member👋\nsilahkan isi daftar ini☟︎︎︎\n\n*_Welcome to the grup_*\n*%name%*\n(･ω･)\n*_Intro untuk new member_* ✍︎\n*_Nama_* :\n*_Umur_* :\n*_Asal_* :\n*_L/P_* :\n*_Status_* :\n*_Alasan gabung_* :\n\n_Selamat bergabung semoga betah_ :)\n_Silahkan Baca deskripsi dulu biar gak lupa_ .","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"hai new member*//welcome to the grup*//intro untuk new member*","normal","Terimakasih buat anda telah mengisi daftar intro grup\n\n*%name%*\n\nSelamat anda telah terdaftar sebagai member grup resmi, salam kenal ya🗿🤝🐦\n\naku inc.bot!, \nuntuk mengaktifkan bot, ketik *_#menu_*\nJangan lupa untuk donasi:v\n\n_Selamat bergabung semoga betah_ :)\n_Silahkan Baca deskripsi dulu biar gak lupa_ .","single","","","g","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"*sepi*","normal","Apa sayang🥰 disini dengan bot.\nkamu gak akan kesepian kok ketik *_#menu_* untuk menampilkan menu yang tersedia.","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"*samlekom*//*permisi*","normal","Silahkan, wah sopan banget😀, kamu non muslim ya?\nMau botnya muncul?\nKetik *_#menu_* untuk menampilkan menu yang tersedia.","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
"*makasih*","normal","*_Sama - sama_*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,,,
